# game_data/ Source File Manifest
# Generated: 2026-03-13 14:00:55
# Total: 223 files, 11.77 GB
#
# These are the original, non-derived source files needed to recreate the
# game_data/ directory. They are NOT committed to git due to size and copyright.
# Derived files (extracted/, data_tracks/) are produced by the scripts.
#
# Format: SHA256  SIZE  PATH

## CD images
20717929536c1c5a0c3ac4d513b3a5cb441e476c013b9c2c45f0a6630086d8aa      39160800  CD images\Descent I and II - The Definitive Collection (Europe) (Disc 2)\Descent I and II - The Definitive Collection (Europe) (Disc 2) (Track 4).bin
6120d5423d11d936caf1b04c888fa233292b9edd35b964a160534017db37f14f      37926000  CD images\Descent I and II - The Definitive Collection (Europe) (Disc 2)\Descent I and II - The Definitive Collection (Europe) (Disc 2) (Track 5).bin
b2ef53c221c1bcfb4da03845ca8548810f1d0ab047235aed1b045cc35c8c43ce      24696000  CD images\Descent I and II - The Definitive Collection (Europe) (Disc 2)\Descent I and II - The Definitive Collection (Europe) (Disc 2) (Track 6).bin
6a973c3932e8a910160cb705c454c8183baef48fc5e22e1bfe68cc5eaa03f9d0      47098800  CD images\Descent I and II - The Definitive Collection (Europe) (Disc 2)\Descent I and II - The Definitive Collection (Europe) (Disc 2) (Track 7).bin
d34edd585d5dae07d2d593aa0e757cb4ca9be74fffb91a35d18cdb47b3bc1794      38984400  CD images\Descent I and II - The Definitive Collection (Europe) (Disc 2)\Descent I and II - The Definitive Collection (Europe) (Disc 2) (Track 8).bin
6c8381d1545cc6f2c847d3869d8c563af7722a111656936cb4039471dc0df557      48510000  CD images\Descent I and II - The Definitive Collection (Europe) (Disc 2)\Descent I and II - The Definitive Collection (Europe) (Disc 2) (Track 9).bin
b35f216abbc1681d917817ab5f60d866f0c22f6fe5d978851628583c0939513b          1386  CD images\Descent I and II - The Definitive Collection (Europe) (Disc 2)\Descent I and II - The Definitive Collection (Europe) (Disc 2).cue
3605a2077aaefc99b4c192c7e12f90e0f6023f0fd43c4b1d927ce9997cbbe8e8      32866848  CD images\Descent I and II - The Definitive Collection (Europe) (Disc 3)\Descent I and II - The Definitive Collection (Europe) (Disc 3) (Track 1).bin
6591fc6c3e3307ad71e88030f7d65889ba40b03c920a2ef6508f34dd9fd4efc2      49215600  CD images\Descent I and II - The Definitive Collection (Europe) (Disc 3)\Descent I and II - The Definitive Collection (Europe) (Disc 3) (Track 2).bin
640bd75f3e13977623ad00cea11138c0c8abb0bd34cc3994ddc47d32be60447b      23284800  CD images\Descent I and II - The Definitive Collection (Europe) (Disc 3)\Descent I and II - The Definitive Collection (Europe) (Disc 3) (Track 3).bin
67bb97ce4add540839d57003971be11bf251e30c2d59585f874d3b07b7667d27      52390800  CD images\Descent I and II - The Definitive Collection (Europe) (Disc 3)\Descent I and II - The Definitive Collection (Europe) (Disc 3) (Track 4).bin
1d78484850cde943ef8f7b6da6dcb0def745f87637d689eba040d2306084bbc1      38984400  CD images\Descent I and II - The Definitive Collection (Europe) (Disc 3)\Descent I and II - The Definitive Collection (Europe) (Disc 3) (Track 5).bin
499a63d4750965dbda01ab1a1cf0973e5dfa1efdf57767f4d09d6762694d1488      41277600  CD images\Descent I and II - The Definitive Collection (Europe) (Disc 3)\Descent I and II - The Definitive Collection (Europe) (Disc 3) (Track 6).bin
aa2a40def18b43cb8916a46bc1c61bda3b65ac2a1d7d41aee19989006bcb5408      46216800  CD images\Descent I and II - The Definitive Collection (Europe) (Disc 3)\Descent I and II - The Definitive Collection (Europe) (Disc 3) (Track 7).bin
63ede8da18fbc336293ea7695848b9eb0feebc54486d74df930b4bc81c93f490      35456400  CD images\Descent I and II - The Definitive Collection (Europe) (Disc 3)\Descent I and II - The Definitive Collection (Europe) (Disc 3) (Track 8).bin
ed4e03f4aa39571c1b9e04453613d87390d7b463f3a3810ae6b1e663c0ab8d0b          1230  CD images\Descent I and II - The Definitive Collection (Europe) (Disc 3)\Descent I and II - The Definitive Collection (Europe) (Disc 3).cue
1b99d11a970a6216ade271ff4d2ae878dc381e770ffd1467d610aa2fb01c0746           334  CD images\Descent I and II - The Definitive Collection (USA) (Disc 1)\data_tracks\demos\swiv\layout.bin
278b3251ca2d81c2a19e4286389981e1e3f2df30319d8cfff4aa9c4e105f3e28     216760320  CD images\Descent I and II - The Definitive Collection (USA) (Disc 1)\Descent I and II - The Definitive Collection (USA) (Disc 1).bin
71459058991c75db8a899b2dcde94507c44935b9a0ea271ce87296b65969182a           125  CD images\Descent I and II - The Definitive Collection (USA) (Disc 1)\Descent I and II - The Definitive Collection (USA) (Disc 1).cue
a47ba66a0db2be6f5b99ae41b79233fb230dc17e94e6d3cf73065f1a382c61fb     431464992  CD images\Descent I and II - The Definitive Collection (USA) (Disc 2)\Descent I and II - The Definitive Collection (USA) (Disc 2) (Track 1).bin
3358be1cb2040f9f9a8f7414559f02cf2fb4d2a3919b527fa8f3ae9785dcdfff       8114400  CD images\Descent I and II - The Definitive Collection (USA) (Disc 2)\Descent I and II - The Definitive Collection (USA) (Disc 2) (Track 2).bin
112582e1acb9c3de0eb10224ebe36b958a67d1dd64a614ce347f181187578e8b      53096400  CD images\Descent I and II - The Definitive Collection (USA) (Disc 2)\Descent I and II - The Definitive Collection (USA) (Disc 2) (Track 3).bin
b7a2433632dc18b634a562611aaf6c22688f394420e82cececc8f21a6cf82f54      39160800  CD images\Descent I and II - The Definitive Collection (USA) (Disc 2)\Descent I and II - The Definitive Collection (USA) (Disc 2) (Track 4).bin
e2e15dfc1bd050550dfd800afc4f3b3072f879200740c69ec40da1c0d16ff4fb      37926000  CD images\Descent I and II - The Definitive Collection (USA) (Disc 2)\Descent I and II - The Definitive Collection (USA) (Disc 2) (Track 5).bin
93d9985eb3615b663b461ea65db16408e078352d9f8659c0922048bea64216bb      24696000  CD images\Descent I and II - The Definitive Collection (USA) (Disc 2)\Descent I and II - The Definitive Collection (USA) (Disc 2) (Track 6).bin
606fc80895f723cfc1dd5ffaf2767ab191379149319e474650c3cdb8a8630a96      47098800  CD images\Descent I and II - The Definitive Collection (USA) (Disc 2)\Descent I and II - The Definitive Collection (USA) (Disc 2) (Track 7).bin
3f7552e4291b0accc8aed8e5c51503c4138593b355d387cde51c73c9859742ae      38984400  CD images\Descent I and II - The Definitive Collection (USA) (Disc 2)\Descent I and II - The Definitive Collection (USA) (Disc 2) (Track 8).bin
b795c5940a64c7dd8fc52922fa028515d330ef697fb0a98b4c3d02d3e42bf148      48157200  CD images\Descent I and II - The Definitive Collection (USA) (Disc 2)\Descent I and II - The Definitive Collection (USA) (Disc 2) (Track 9).bin
4e0f066223eef1bc85385abace5ebba3467b5d248c50ef9efba48571a86a1de5          1359  CD images\Descent I and II - The Definitive Collection (USA) (Disc 2)\Descent I and II - The Definitive Collection (USA) (Disc 2).cue
3605a2077aaefc99b4c192c7e12f90e0f6023f0fd43c4b1d927ce9997cbbe8e8      32866848  CD images\Descent I and II - The Definitive Collection (USA) (Disc 3)\Descent I and II - The Definitive Collection (USA) (Disc 3) (Track 1).bin
98b509a4dbab270f34ebec26fbdc121247706e8e21f5c5c0eb3f9477ba66e395      49215600  CD images\Descent I and II - The Definitive Collection (USA) (Disc 3)\Descent I and II - The Definitive Collection (USA) (Disc 3) (Track 2).bin
52a5d296bd0296f0936b274be678e66e58d3b5347c31f21e02cc0ce2303d030b      23284800  CD images\Descent I and II - The Definitive Collection (USA) (Disc 3)\Descent I and II - The Definitive Collection (USA) (Disc 3) (Track 3).bin
6fa4c75c0e6d540acc3b3c85e1b7c3f510f8c496e7a3eba54154a903a47db6d2      52390800  CD images\Descent I and II - The Definitive Collection (USA) (Disc 3)\Descent I and II - The Definitive Collection (USA) (Disc 3) (Track 4).bin
386c9bc3dbaa2b594478c769a783c7610226a466ab43343d620428f9c5569583      38984400  CD images\Descent I and II - The Definitive Collection (USA) (Disc 3)\Descent I and II - The Definitive Collection (USA) (Disc 3) (Track 5).bin
e9c47d6c473a3c6ebb35508abe9a2e1be06c7748375acbe422ffcf820ea2755c      41277600  CD images\Descent I and II - The Definitive Collection (USA) (Disc 3)\Descent I and II - The Definitive Collection (USA) (Disc 3) (Track 6).bin
a2395b0eda0e95ab40bb6907e613fbde1d2a77814e98dd6ca021b045563af875      46216800  CD images\Descent I and II - The Definitive Collection (USA) (Disc 3)\Descent I and II - The Definitive Collection (USA) (Disc 3) (Track 7).bin
115662d09b61d5cc0031e354b5196ff037b0171eb023840996415167845e49c9      35456400  CD images\Descent I and II - The Definitive Collection (USA) (Disc 3)\Descent I and II - The Definitive Collection (USA) (Disc 3) (Track 8).bin
ffbbdbb14edf7f1b8471681f22ac5300c6a581e6204b5615a07fb833387954bc          1206  CD images\Descent I and II - The Definitive Collection (USA) (Disc 3)\Descent I and II - The Definitive Collection (USA) (Disc 3).cue
a512e1435cfe279d22f7a25187f065d636b87355274794ca179195a3db1dda2a     223138944  CD images\Descent II - Destination Quartzon (Europe)\Descent II - Destination Quartzon (Europe) (Track 01).bin
7e05f0e8c56ba0d39b11805a6742d4fdb8f0e22b76bdd998d3f785a8054f59b3       7234752  CD images\Descent II - Destination Quartzon (Europe)\Descent II - Destination Quartzon (Europe) (Track 02).bin
bd3971652dfbcee4e1967789663e3630a100695afbdf085693379bd07421d237      27699504  CD images\Descent II - Destination Quartzon (Europe)\Descent II - Destination Quartzon (Europe) (Track 03).bin
61a28663864802497bbb0c62699e55310c069c7503cc0fd118306b7ed29062ad      20467104  CD images\Descent II - Destination Quartzon (Europe)\Descent II - Destination Quartzon (Europe) (Track 04).bin
f570c544a0f94d3b7f653d6059176cd8233f957aa7ab667696c5a7703d0079a5      26464704  CD images\Descent II - Destination Quartzon (Europe)\Descent II - Destination Quartzon (Europe) (Track 05).bin
2c65770f09ad4610badea0c1d2a3cc96311bd9bd3a26cf0d08bfc6b00267b6ad      32285904  CD images\Descent II - Destination Quartzon (Europe)\Descent II - Destination Quartzon (Europe) (Track 06).bin
626f6abff044f9c16db2f6729a5340ee3287db7caba6214acf59a27795f645df      26288304  CD images\Descent II - Destination Quartzon (Europe)\Descent II - Destination Quartzon (Europe) (Track 07).bin
69a17262d0cfb0ec17a28333c6fef17f7672e03812bd32df7960d2145c9eba08      35990304  CD images\Descent II - Destination Quartzon (Europe)\Descent II - Destination Quartzon (Europe) (Track 08).bin
4798f7fe86188a1ede76f31a9f89b6e757f3dac1b8a122649a9b89a0e680d0f5      30169104  CD images\Descent II - Destination Quartzon (Europe)\Descent II - Destination Quartzon (Europe) (Track 09).bin
9df66fe21477f1f0cb6e3d5d5bca6203b93a0f7988bfdd6fc15f7a364cc2b3a8      29287104  CD images\Descent II - Destination Quartzon (Europe)\Descent II - Destination Quartzon (Europe) (Track 10).bin
5604f96449d0357e48335f8f9c9559ece9660e64ecf8c85c8c468d9feaebdbb2      28757904  CD images\Descent II - Destination Quartzon (Europe)\Descent II - Destination Quartzon (Europe) (Track 11).bin
62d69daa34f35f8065c34486aa6da4825958ade8896f29d55a7058656a0470d6      24524304  CD images\Descent II - Destination Quartzon (Europe)\Descent II - Destination Quartzon (Europe) (Track 12).bin
eb83dd598db020e400ca5a60783ec47494c81c719b9b3edc34c44c9ae3be1846      31048752  CD images\Descent II - Destination Quartzon (Europe)\Descent II - Destination Quartzon (Europe) (Track 13).bin
0b5f4b4910bb57abf2ea4e56f8f4a5aeed25ec72d15bbc8e38bc9c3d811a862c          1958  CD images\Descent II - Destination Quartzon (Europe)\Descent II - Destination Quartzon (Europe).cue
c5c5b0b0633dadf5b9c23f47a602412e3e9e6cadf6668da84116f9e455419a4d     210713328  CD images\Descent II - Destination Quartzon (USA) (Diamond OEM)\Descent II - Destination Quartzon (USA) (Diamond OEM) (Track 01).bin
d151cd03d87f9392994370b94621662e9b829fee48ffe3e777060ba28ade477f       7173600  CD images\Descent II - Destination Quartzon (USA) (Diamond OEM)\Descent II - Destination Quartzon (USA) (Diamond OEM) (Track 02).bin
e5f0af4f1e4720c04268d881b5581e6d9ec154b42156c99cc4ae9e01e1fdfa12      27621888  CD images\Descent II - Destination Quartzon (USA) (Diamond OEM)\Descent II - Destination Quartzon (USA) (Diamond OEM) (Track 03).bin
13da0b6b599b6f4968658ea28e9d7253a9a8f26b8d4560fe520059f248d116b3      20328336  CD images\Descent II - Destination Quartzon (USA) (Diamond OEM)\Descent II - Destination Quartzon (USA) (Diamond OEM) (Track 04).bin
77949487834d13ef2dabc71f1464559a45269e3968ce5b334fec1a540c579c8c      26382384  CD images\Descent II - Destination Quartzon (USA) (Diamond OEM)\Descent II - Destination Quartzon (USA) (Diamond OEM) (Track 05).bin
c07bcc902c2ebec9f2752861ecb8e0af745a41b76750bc4c033521323cfcc124      32229456  CD images\Descent II - Destination Quartzon (USA) (Diamond OEM)\Descent II - Destination Quartzon (USA) (Diamond OEM) (Track 06).bin
57759f1e642c7070c26612c8f012c134ceaa2cb0dc86708ebf9f5b9c31ec61a0      26184816  CD images\Descent II - Destination Quartzon (USA) (Diamond OEM)\Descent II - Destination Quartzon (USA) (Diamond OEM) (Track 07).bin
6c0f828a314cbb14b43e5339d7c79f9ad051fd6d5074910ebf12711e6437360d      35875056  CD images\Descent II - Destination Quartzon (USA) (Diamond OEM)\Descent II - Destination Quartzon (USA) (Diamond OEM) (Track 08).bin
c78c9c635624ba2ad978d859c5579c2e8f3ef879c3a05482b6acdcc4fc9f740a      30020928  CD images\Descent II - Destination Quartzon (USA) (Diamond OEM)\Descent II - Destination Quartzon (USA) (Diamond OEM) (Track 09).bin
b763d0177d77bd2abc3873b54e3149cd51aaa0776cb99095f2e1f896dc91e144      29190672  CD images\Descent II - Destination Quartzon (USA) (Diamond OEM)\Descent II - Destination Quartzon (USA) (Diamond OEM) (Track 10).bin
4647d6ea77f743f5dcebbe420e55c0add825ec680b01f5e6e3e64a53eb3ce1c0      28680288  CD images\Descent II - Destination Quartzon (USA) (Diamond OEM)\Descent II - Destination Quartzon (USA) (Diamond OEM) (Track 11).bin
79c31d45df2b7dbc5cab531a1736cfdc460f25a3ed4acd2453bed869341304d6      24347904  CD images\Descent II - Destination Quartzon (USA) (Diamond OEM)\Descent II - Destination Quartzon (USA) (Diamond OEM) (Track 12).bin
6007ac92df34aa6c118d8c494f1b04bdd6649dd22b2835f346e9a9042e7ae3e9      31333344  CD images\Descent II - Destination Quartzon (USA) (Diamond OEM)\Descent II - Destination Quartzon (USA) (Diamond OEM) (Track 13).bin
9438608d0a7f8abc888933bead61134df14f36a0822a556c5e7da14771bccaa7          1906  CD images\Descent II - Destination Quartzon (USA) (Diamond OEM)\Descent II - Destination Quartzon (USA) (Diamond OEM).cue
a0fcaeff3d818ffd42c3012f9a969d6c327c753ada63ff111843bffa24aae7ca     223134240  CD images\Descent II - Destination Quartzon (USA) (Logitech OEM)\Descent II - Destination Quartzon (USA) (Logitech OEM) (Track 01).bin
1b337cb0cc2c6de3b6eb2dc9f6c0e2c0c52ea6103566ead177421a90ca7eca89       7589904  CD images\Descent II - Destination Quartzon (USA) (Logitech OEM)\Descent II - Destination Quartzon (USA) (Logitech OEM) (Track 02).bin
3b19e07d3bcce0f8bcac61e008a543502f18a9fce05deeac7d8946b95591373b      27699504  CD images\Descent II - Destination Quartzon (USA) (Logitech OEM)\Descent II - Destination Quartzon (USA) (Logitech OEM) (Track 03).bin
42d8c3ac62c68b0e4fe5f13871480530bac7730d60ceea1729595d78589219c1      20467104  CD images\Descent II - Destination Quartzon (USA) (Logitech OEM)\Descent II - Destination Quartzon (USA) (Logitech OEM) (Track 04).bin
d07d59d759926b1c9b6e1a090a7b3a40e5607293b84786f766de7b95a66b8dcc      26464704  CD images\Descent II - Destination Quartzon (USA) (Logitech OEM)\Descent II - Destination Quartzon (USA) (Logitech OEM) (Track 05).bin
877df7d6e45a2fde199ad98a2aeac692d64e4b18e9de57581e08591da81e2994      32285904  CD images\Descent II - Destination Quartzon (USA) (Logitech OEM)\Descent II - Destination Quartzon (USA) (Logitech OEM) (Track 06).bin
4fcc193f6205d796444d8a01b815e81db8b23097d009249d9847fc5f2bc8ecb4      26288304  CD images\Descent II - Destination Quartzon (USA) (Logitech OEM)\Descent II - Destination Quartzon (USA) (Logitech OEM) (Track 07).bin
84b33102aee504534b7950f263e37bea1d288918f070ff9ff1745b8da00df360      35990304  CD images\Descent II - Destination Quartzon (USA) (Logitech OEM)\Descent II - Destination Quartzon (USA) (Logitech OEM) (Track 08).bin
5c9e58ba2295d52c7f08c099c1bd4076dea33636e613f4af3eeb96927b189665      30169104  CD images\Descent II - Destination Quartzon (USA) (Logitech OEM)\Descent II - Destination Quartzon (USA) (Logitech OEM) (Track 09).bin
b0701fe574fddb0477e3826bfe8e12f8e6a5bd84de7e1dea8eef2f4bfa6d042e      29287104  CD images\Descent II - Destination Quartzon (USA) (Logitech OEM)\Descent II - Destination Quartzon (USA) (Logitech OEM) (Track 10).bin
7cddb28845f3986cbefe93970771e860b21a5e4af3dd65feab373681ac3fb23a      28757904  CD images\Descent II - Destination Quartzon (USA) (Logitech OEM)\Descent II - Destination Quartzon (USA) (Logitech OEM) (Track 11).bin
2b5c30cb25d4f7f9b4b4a01193d726b3c58ef88c5ba69f16aacf2e4b448281dd      24524304  CD images\Descent II - Destination Quartzon (USA) (Logitech OEM)\Descent II - Destination Quartzon (USA) (Logitech OEM) (Track 12).bin
fd81c5b33f2cab2b743e68540c83c580b63c3307d4ef14f7ac828aff6893fd4e      31051104  CD images\Descent II - Destination Quartzon (USA) (Logitech OEM)\Descent II - Destination Quartzon (USA) (Logitech OEM) (Track 13).bin
53c9e51e97861c638227ebad0dfc97438c13663aea19cefe1a1c87e4ea153215          1689  CD images\Descent II - Destination Quartzon (USA) (Logitech OEM)\Descent II - Destination Quartzon (USA) (Logitech OEM).cue
49f8c4157919e8d13e188b936a83a2b95c735a314d67bf0833047b8942909e26     219519216  CD images\Descent II - Destination Quartzon (USA)\Descent II - Destination Quartzon (USA) (Track 01).bin
18243cf907924da60db053701648aa724ca692187cf0dc7dbfe7d44131e75c4a       7241808  CD images\Descent II - Destination Quartzon (USA)\Descent II - Destination Quartzon (USA) (Track 02).bin
dbda02896735b9a5121c3cd82357d76bdda0efb7fe2a64f69d1556de2424ec33      27699504  CD images\Descent II - Destination Quartzon (USA)\Descent II - Destination Quartzon (USA) (Track 03).bin
d811a720a51f4b5a186cc1e3a18721724addfeccf6afb5d0733b22efa303e642      20467104  CD images\Descent II - Destination Quartzon (USA)\Descent II - Destination Quartzon (USA) (Track 04).bin
e9d7ae31063782a622843707747933be7dc80c0a6e6d1159b1259e7750405e4a      26464704  CD images\Descent II - Destination Quartzon (USA)\Descent II - Destination Quartzon (USA) (Track 05).bin
9774d269976067324fc5d08528114357a0eada09db5e6e84f64131262fcaa141      32285904  CD images\Descent II - Destination Quartzon (USA)\Descent II - Destination Quartzon (USA) (Track 06).bin
ab425f3c5f641b05843bc49fd65f1fa7799fd21cc47ab3d0cf93d2c47d073af7      26288304  CD images\Descent II - Destination Quartzon (USA)\Descent II - Destination Quartzon (USA) (Track 07).bin
ea8d42639567fe8b4ac2399522ee5fa3f1956785bb2292851bf15cce7782657e      35990304  CD images\Descent II - Destination Quartzon (USA)\Descent II - Destination Quartzon (USA) (Track 08).bin
951692a0a7207edce83d1c59c0703e1fa3b013dabf4e702c591a9667d88ab6ae      30169104  CD images\Descent II - Destination Quartzon (USA)\Descent II - Destination Quartzon (USA) (Track 09).bin
5210f5cd5dd04dc80b476d2d78e320129d23137fb815b094d9c7d9c14dc0ebe3      29287104  CD images\Descent II - Destination Quartzon (USA)\Descent II - Destination Quartzon (USA) (Track 10).bin
580896f13ddac4bb015bca514ebb5f9816e7df2cce47bdefc832452f61697231      28757904  CD images\Descent II - Destination Quartzon (USA)\Descent II - Destination Quartzon (USA) (Track 11).bin
bacfb38a0bfb1d68c73f3ff92d0ffa87eb44631f3b5ed788732a738a6d3476c6      24524304  CD images\Descent II - Destination Quartzon (USA)\Descent II - Destination Quartzon (USA) (Track 12).bin
11723f50576ae41630ef3a47ec2087ebb76ef6af53d0926c3a6daa4b218b79a9      31048752  CD images\Descent II - Destination Quartzon (USA)\Descent II - Destination Quartzon (USA) (Track 13).bin
12b669f420022d35367858000eb60f7972a79024d1a43da6a9f9a07cb27f9d7c          1942  CD images\Descent II - Destination Quartzon (USA)\Descent II - Destination Quartzon (USA).cue
7c8940f0f731befbe16b100f66d2e2737f423fc82bf98e7394e2c943a8239842     137871888  CD images\Descent II - Destination Quartzon 3D (Europe)\Descent II - Destination Quartzon 3D (Europe) (Track 1).bin
32737fc24bf0013df78ee5bd56815e602cfb3f26f4237808b292f58ece2f1b82       7350000  CD images\Descent II - Destination Quartzon 3D (Europe)\Descent II - Destination Quartzon 3D (Europe) (Track 2).bin
59fd2e1d632583b7b1cfd01dae1d16983457a050f30ae58fc3ae697c9dabf880      26231856  CD images\Descent II - Destination Quartzon 3D (Europe)\Descent II - Destination Quartzon 3D (Europe) (Track 3).bin
850bf49a9c41bcdecd49d97791d45502679e2e52201c464fa01c6f71efc3701d      29985648  CD images\Descent II - Destination Quartzon 3D (Europe)\Descent II - Destination Quartzon 3D (Europe) (Track 4).bin
66fdc9d51ba46d2e518427b3437fd60a41bd862a195bc23e098e14fe3955c006      31067568  CD images\Descent II - Destination Quartzon 3D (Europe)\Descent II - Destination Quartzon 3D (Europe) (Track 5).bin
eadd799b02f82906000647792d24e97f3ed843282c4d1d4a1abc488d79e26e37      28440384  CD images\Descent II - Destination Quartzon 3D (Europe)\Descent II - Destination Quartzon 3D (Europe) (Track 6).bin
bb23c7573501b7ec63b6c9fd7978cd090273613f3931f000d6b002d622fa10b7           816  CD images\Descent II - Destination Quartzon 3D (Europe)\Descent II - Destination Quartzon 3D (Europe).cue
fdf86268625d49cf3ce95a2f8b21c90fdbe5b87ba8e6a1b5710e0b01c8fcd9aa      54827472  CD images\Descent II - The Vertigo Series (USA)\Descent II - The Vertigo Series (USA) (Track 1).bin
cfe3103777b90e4ea2a5ffe67c951cf54f54ce71c690bebef8d7b8033a307246      49076832  CD images\Descent II - The Vertigo Series (USA)\Descent II - The Vertigo Series (USA) (Track 2).bin
8629a25444453aefd70f5669553f7c0fbf64b80ce28424ee55f782747fd9881f      22901424  CD images\Descent II - The Vertigo Series (USA)\Descent II - The Vertigo Series (USA) (Track 3).bin
8c5bccf92bc37958bc3591bf8db5d84ecca3e0d8fc5e57eed80ac52e822118c9      52028592  CD images\Descent II - The Vertigo Series (USA)\Descent II - The Vertigo Series (USA) (Track 4).bin
d7b08007a6a73f5264b23d82814d8115e0e287d28516ee763883a03c667ef132      38612784  CD images\Descent II - The Vertigo Series (USA)\Descent II - The Vertigo Series (USA) (Track 5).bin
ebfe986bd9db64711e3022f01790908156985a5cffb648728737101cdf8218e8      40880112  CD images\Descent II - The Vertigo Series (USA)\Descent II - The Vertigo Series (USA) (Track 6).bin
26950698365992d78adfc97bfa81a84032011395d86c8eb985b440461e055fe5      45755808  CD images\Descent II - The Vertigo Series (USA)\Descent II - The Vertigo Series (USA) (Track 7).bin
79b16667c7b5fd8e363c25196715c28c306c7bea35c4c4e595a325ece62390b5      35047152  CD images\Descent II - The Vertigo Series (USA)\Descent II - The Vertigo Series (USA) (Track 8).bin
